,DayRank,DayRankPrior,DayRankPriorWeek,Symbol,PositionWeightNorm,PositionSizeNorm,MinL1DReturnPercL90D,MaxL1DReturnPercL90D
1944,10.0,10.0,8.0,ABBV,0.0298883621014,2988.83621014,-0.0465512214478,0.0283268407569
11145,13.0,15.0,15.0,AIG,0.0391933119492,3919.33119492,-0.0181731229077,0.0281713276156
12115,6.0,9.0,17.0,AIZ,0.039561430721,3956.1430721,-0.0257423127508,0.0262838498936
23206,4.0,6.0,2.0,AVY,0.0359011895272,3590.11895272,-0.0203390150066,0.0534336362328
25146,20.0,22.0,43.0,BAC,0.0344826146026,3448.26146026,-0.0298679494543,0.0321074741452
29026,15.0,16.0,20.0,BF_B,0.0411725159559,4117.25159559,-0.0139457911938,0.0254372236447
71018,1.0,1.0,1.0,EA,0.0288659613665,2886.59613665,-0.0322636133931,0.0385164037619
71503,30.0,37.0,78.0,EBAY,0.0290620094339,2906.20094339,-0.037640306793,0.0377092361174
81687,21.0,18.0,12.0,EXPE,0.0249748850986,2497.48850986,-0.0348794750241,0.079167982968
87007,23.0,24.0,26.0,FITB,0.0334449001423,3344.49001423,-0.0244475787494,0.0280417007296
94282,5.0,5.0,4.0,GILD,0.0260756051289,2607.56051289,-0.0410505000493,0.0451022533409
96706,11.0,13.0,33.0,GME,0.0241997842841,2419.97842841,-0.0312652309332,0.0608504962234
120807,17.0,17.0,18.0,JPM,0.03806585083,3806.585083,-0.02538072096,0.023677571878
129036,28.0,30.0,45.0,LEG,0.0360896880857,3608.96880857,-0.0198153760868,0.080762890867
131461,3.0,4.0,6.0,LLY,0.0301365024632,3013.65024632,-0.0274858194935,0.0541263393069
141131,9.0,8.0,7.0,MDLZ,0.0399287167029,3992.87167029,-0.0216398483358,0.0516304835488
142101,18.0,20.0,31.0,MET,0.0317160182455,3171.60182455,-0.0331183202566,0.0287230150018
158087,27.0,28.0,38.0,NKE,0.0409720946437,4097.20946437,-0.0185944856312,0.0426724763099
181177,26.0,27.0,35.0,PRU,0.0307946426782,3079.46426782,-0.0378086415585,0.0307941924347
186512,12.0,12.0,13.0,REGN,0.022003600808,2200.3600808,-0.0416895352237,0.0400679287346
192332,8.0,11.0,10.0,SBUX,0.0358024141219,3580.24141219,-0.0219567060361,0.0487557991929
193302,19.0,21.0,39.0,SCHW,0.0291604857226,2916.04857226,-0.0378765594356,0.0329865062118
194272,14.0,14.0,16.0,SEE,0.0304717258197,3047.17258197,-0.0236506008011,0.0335448466597
196697,25.0,26.0,24.0,SNA,0.0407620620154,4076.20620154,-0.0226277696205,0.023523850254
201062,24.0,25.0,21.0,STJ,0.0304450282595,3044.50282595,-0.0226035355012,0.0640914416865
203002,22.0,23.0,19.0,SWK,0.0453458273172,4534.58273172,-0.0135624707188,0.0232759255239
213530,29.0,29.0,29.0,TSN,0.031843743195,3184.3743195,-0.0276381482423,0.0250633381006
214500,16.0,19.0,25.0,TSS,0.0403297990568,4032.97990568,-0.0227060153861,0.0476687186522
215472,2.0,2.0,5.0,TWC,0.0330839408883,3308.39408883,-0.0542983352337,0.0725552861209
239932,7.0,7.0,9.0,ZION,0.0262252888348,2622.52888348,-0.0345812182741,0.0671328671329
